ts,tns,target_x,target_y,target_z,inter_x,inter_y,inter_z,target_v,inter_vx,inter_vy,inter_vz,inter_v,inter_g_yaw_rate,inter_g_yaw_rate,inter_g_yaw,yolo_x,yolo_y,yolo_depth,gimbal_neut,inter_pitch,inter_yaw
0,449289798,0.0,0.0,-0.027,0.0,0.0,-0.038,0.0,0.0,0.0,0.0,0.0,-0.001949,-0.001949,-4.18976e-05,0,0,0.0,0,-0.00036485370947061,3.085492448010717
0,460876941,0.0,0.0,-0.027,0.0,0.0,-0.038,0.0,0.0,0.0,0.0,0.0,-0.001949,-0.001949,-4.18976e-05,0,0,0.0,0,-0.00036485370947061,3.085492448010717
0,480754137,0.0,0.0,-0.027,0.0,0.0,-0.038,0.0,0.0,0.0,0.0,0.0,-0.001949,-0.001949,-4.18976e-05,0,0,0.0,0,-0.00036485370947061,3.085492448010717
0,492479085,0.0,0.0,-0.027,0.0,0.0,-0.038,0.0,0.0,0.0,0.0,0.0,-0.001949,-0.001949,-4.21367e-05,0,0,0.0,0,-0.00036485370947061,3.085492448010717
0,509570121,0.0,0.0,-0.027,0.0,0.0,-0.038,0.0,0.0,0.0,0.0,0.0,-0.001949,-0.001949,-4.21367e-05,0,0,0.0,0,-0.00036663271021110844,3.08386750618485
0,527734518,0.0,0.0,-0.027,0.0,0.0,-0.038,0.0,0.0,0.0,0.0,0.0,-0.001949,-0.001949,-4.21367e-05,0,0,0.0,0,-0.00036663271021110844,3.08386750618485
0,547828435,0.0,0.0,-0.027,0.0,0.0,-0.038,0.0,0.0,0.0,0.0,0.0,-0.001949,-0.001949,-4.21367e-05,0,0,0.0,0,-0.00036663271021110844,3.08386750618485
0,560649156,0.0,0.0,-0.027,0.0,0.0,-0.038,0.0,0.0,0.0,0.0,0.0,-0.001949,-0.001949,-4.21367e-05,0,0,0.0,0,-0.00036663271021110844,3.08386750618485
0,578363656,0.0,0.0,-0.027,0.0,0.0,-0.038,0.0,0.0,0.0,0.0,0.0,-0.001949,-0.001949,-4.21367e-05,0,0,0.0,0,-0.00036663271021110844,3.08386750618485
0,596971750,0.0,0.0,-0.027,0.0,0.0,-0.038,0.0,0.0,0.0,0.0,0.0,-0.001949,-0.001949,-4.23833e-05,0,0,0.0,0,-0.00036663271021110844,3.08386750618485
